Titanic passager,Status,Home Country,Age,Crew or Passenger?,Gender,Class / Department,Ticket Number,Fare Price
"DE GRASSE, Mr J.",,,,Passenger,Male,2nd Class,761,£1
"EVANS, Miss",,,,Passenger,Female,2nd Class,88,£1
"MULLEN,",,,,Passenger,Female,2nd Class,404,£1
"WOTTON, Mr Henry Swaffin",,,54.0,Passenger,Male,1st Class,86,£1 10s
"BRAND, Mr",,,,Passenger,Male,1st Class,8,£1 10s
"FLETCHER, Miss N.",,,,Passenger,Female,1st Class,405,£1 10s
"LENOX-CONYNGHAM, Miss Alice",,,,Passenger,Female,1st Class,75,£1 10s
"COLERIDGE, Mr Reginald Charles",Victim,England,29.0,Passenger,Male,2nd Class,14263,£10 10s
"STOKES, Mr Philip Joseph",Victim,England,25.0,Passenger,Male,2nd Class,13540,£10 10s
"REEVES, Mr David",Victim,England,36.0,Passenger,Male,2nd Class,17248,£10 10s
"PARKER, Mr Clifford Richard",Victim,Channel Islands,28.0,Passenger,Male,2nd Class,14888,£10 10s
"MITCHELL, Mr Henry Michael",Victim,Channel Islands,71.0,Passenger,Male,2nd Class,24580,£10 10s
"PAIN, Dr Alfred",Victim,Canada,23.0,Passenger,Male,2nd Class,244278,£10 10s
"LEYSON, Mr Robert William Norman",Victim,England,25.0,Passenger,Male,2nd Class,29566,£10 10s
"WHEADON, Mr Edward H.",Victim,Channel Islands,66.0,Passenger,Male,2nd Class,24579,£10 10s
"BAINBRIGGE, Mr Charles Robert",Victim,Channel Islands,23.0,Passenger,Male,2nd Class,31030,£10 10s
"OXENHAM, Mr Percy Thomas",Survivor,England,22.0,Passenger,Male,2nd Class,14260,£10 10s
"KVILLNER, Mr Johan Henrik Johannesson",Victim,Sweden,31.0,Passenger,Male,2nd Class,18723,£10 10s
"ANDREW, Mr Frank Thomas",Victim,England,25.0,Passenger,Male,2nd Class,34050,£10 10s
"BANFIELD, Mr Frederick James",Victim,England,28.0,Passenger,Male,2nd Class,34068,£10 10s
"JENKIN, Mr Stephen Curnow",Victim,England,32.0,Passenger,Male,2nd Class,33111,£10 10s
"PENGELLY, Mr Frederick William",Victim,England,19.0,Passenger,Male,2nd Class,28665,£10 10s
"FILLBROOK, Mr Joseph Charles",Victim,England,18.0,Passenger,Male,2nd Class,15185,£10 10s
"MELLORS, Mr William John",Survivor,England,19.0,Passenger,Male,2nd Class,751,£10 10s
"TOOMEY, Miss Ellen Mary",Survivor,United States,48.0,Passenger,Female,2nd Class,13531,£10 10s
"COLLETT, Mr Sidney Clarence Stuart",Survivor,England,25.0,Passenger,Male,2nd Class,28034,£10 10s
"COOK, Mrs Selena",Survivor,,22.0,Passenger,Female,2nd Class,14266,£10 10s
"HARRIS, Mr George",Survivor,England,62.0,Passenger,Male,2nd Class,752,£10 10s
"ILETT, Miss Bertha",Survivor,Channel Islands,17.0,Passenger,Female,2nd Class,14885,£10 10s
"LEMORE, Mrs Amelia ""Milley""",Survivor,United States,34.0,Passenger,Female,2nd Class,34260,£10 10s
"NYE, Mrs Elizabeth",Survivor,United States,29.0,Passenger,Female,2nd Class,29395,£10 10s
"RIDSDALE, Miss Lucy",Survivor,England,58.0,Passenger,Female,2nd Class,14258,£10 10s
"RUGG, Miss Emily",Survivor,Channel Islands,21.0,Passenger,Female,2nd Class,31026,£10 10s
"TROUTT, Miss Edwina Celia",Survivor,England,27.0,Passenger,Female,2nd Class,34218,£10 10s
