date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-01-01 00:00:00,28.1,24,31,0,,,7.2,,1009.2,
2025-01-02 00:00:00,27.5,25,31,0.5,,,7.6,,1009.4,
2025-01-03 00:00:00,28.5,25,32,3,,,9.5,,1009.6,
2025-01-04 00:00:00,27.6,23,32,0,,,8.2,,1009.8,
2025-01-05 00:00:00,27.4,23,32,0,,,9,,1010.9,
2025-01-06 00:00:00,27,22,31,0,,,7.7,,1010.6,
2025-01-07 00:00:00,26.8,22,33,0,,,9.5,,1010.8,
2025-01-08 00:00:00,27,23,32,0,,,7.3,,1010.9,
2025-01-09 00:00:00,26.8,23,32,0,,,7.6,,1011.7,
2025-01-10 00:00:00,27.9,25,33,0,,,8,,1012.8,
2025-01-11 00:00:00,26.6,22,33,0,,,11.7,,1013.6,
2025-01-12 00:00:00,26,22,32,0,,,12.7,,1013.1,
2025-01-13 00:00:00,24.7,19,31,0,,,10.9,,1012,
2025-01-14 00:00:00,25.4,21,32,9,,,7.1,,1011.8,
2025-01-15 00:00:00,27.9,24,33,1,,,7.3,,1011.3,
2025-01-16 00:00:00,28.3,24,34,0,,,12.5,,1011.8,
2025-01-17 00:00:00,26.8,22,32,0,,,10.4,,1011,
2025-01-18 00:00:00,26.8,22,32,0,,,7.4,,1010.3,
2025-01-19 00:00:00,27.5,23,33,0,,,8.1,,1009.4,
2025-01-20 00:00:00,27.1,24,31,0,,,8.8,,1009.2,
2025-01-21 00:00:00,26.5,22,31,0,,,8.3,,1010,
2025-01-22 00:00:00,26.8,23,32,0,,,8.1,,1010.2,
2025-01-23 00:00:00,27.5,24,31,0,,,6.6,,1010.3,
2025-01-24 00:00:00,27.8,24,34,0,,,9.5,,1009,
2025-01-25 00:00:00,28.2,24,33,0.2,,,9.4,,1009,
2025-01-26 00:00:00,27.7,25,32,0,,,9.5,,1009.3,
2025-01-27 00:00:00,26.5,23,32,0,,,7.2,,1009.8,
2025-01-28 00:00:00,25.8,21,30,0,,,8.2,,1012.5,
2025-01-29 00:00:00,24.5,20,30,0,,,9,,1013.8,
2025-01-30 00:00:00,24.7,20,30,0,,,8.3,,1011.3,
2025-01-31 00:00:00,26.5,20,33,0,,,7.2,,1009.8,
2025-02-01 00:00:00,27.2,23,33,0,,,11,,1008.9,
2025-02-02 00:00:00,27.4,22,34,0,,,7.7,,1008.9,
2025-02-03 00:00:00,28.2,25,33,0,,,8.9,,1009.3,
2025-02-04 00:00:00,27.6,23,33,0,,,8.5,,1010.3,
2025-02-05 00:00:00,27,22,33,0,,,9.2,,1010,
2025-02-06 00:00:00,26.8,21,33,0,,,10.1,,1009.8,
2025-02-07 00:00:00,27.1,22,33,0,,,7.1,,1010.2,
2025-02-08 00:00:00,27.3,22,33,0,,,9,,1010.3,
2025-02-09 00:00:00,26.8,21,32,0,,,10.4,,1010.7,
2025-02-10 00:00:00,27.1,23,32,0,,,8.7,,1010.8,
2025-02-11 00:00:00,27.8,24,32,16.3,,,8.3,,1010.7,
2025-02-12 00:00:00,27.9,24,33,1.6,,,9.7,,1010.7,
2025-02-13 00:00:00,27,25,31,8,,,10,,1011.2,
2025-02-14 00:00:00,27.8,25,31,1.2,,,9.3,,1010.4,
2025-02-15 00:00:00,28,26,32,2.7,,,10.1,,1009.5,
2025-02-16 00:00:00,28.5,25,33,0.1,,,10.4,,1010.3,
2025-02-17 00:00:00,28.8,24,33,0,,,9.3,,1011.5,
2025-02-18 00:00:00,28.6,25,33,0.6,,,8.6,,1011.5,
2025-02-19 00:00:00,27,24,31,2.9,,,9.2,,1011.4,
2025-02-20 00:00:00,28.1,24,33,0.6,,,8,,1011.2,
2025-02-21 00:00:00,28.2,25,33,6.3,,,9.2,,1012,
2025-02-22 00:00:00,27.2,24,31,33.5,,,8.1,,1012,
2025-02-23 00:00:00,28.1,26,31,18.3,,,12.8,,1013,
2025-02-24 00:00:00,29.2,25,34,0,,,12.3,,1013.5,
2025-02-25 00:00:00,28.4,24,32,0.2,,,9.7,,1014.3,
2025-02-26 00:00:00,29.6,26,34,0,,,10.4,,1014,
2025-02-27 00:00:00,29,25,34,0,,,11,,1011.7,
2025-02-28 00:00:00,29.3,25,35,0,,,11.6,,1011.3,
2025-03-01 00:00:00,28.7,23.6,35,0,,,13.3,,1010.2,
2025-03-02 00:00:00,28.7,26,33,0,,,15.4,,1009,
2025-03-03 00:00:00,29.2,25,35,0,,,14.9,,1008.3,
2025-03-04 00:00:00,28.8,26,33,0,,,11.2,,1008.2,
2025-03-05 00:00:00,29.1,26,34,0,,,11.2,,1007.8,
2025-03-06 00:00:00,29.5,27,34,0,,,15.6,,1009.2,
2025-03-07 00:00:00,30,26,35,1.3,,,13.6,,1008.8,
2025-03-08 00:00:00,29.8,26,35,0.9,,,8.7,,1009.8,
2025-03-09 00:00:00,29.5,26,34,0.2,,,13.3,,1011.2,
2025-03-10 00:00:00,29.8,26,36,0.9,,,12.2,,1011.3,
2025-03-11 00:00:00,29.4,26,35,0.5,,,9.7,,1010.2,
2025-03-12 00:00:00,30.5,27,36,2.6,,,14.8,,1009.5,
2025-03-13 00:00:00,30.1,24.1,35,0,,,16.7,,1010.3,
2025-03-14 00:00:00,30.1,27,36,0,,,14.2,,1010.6,
2025-03-15 00:00:00,29.7,27,34,,,,14.5,,1010.8,
2025-03-16 00:00:00,29.2,27,34,,,,14.3,,1010.7,
2025-03-17 00:00:00,29.1,26,34,,,,9.4,,1010.7,
2025-03-18 00:00:00,30,26,35,,,,7.8,,1011.6,
2025-03-19 00:00:00,29.6,25,35,,,,11.2,,1012.8,
2025-03-20 00:00:00,28.2,24,33.3,,,,11.4,,1013.3,
2025-03-21 00:00:00,28.8,24,35,,,,10.2,,1013.2,
2025-03-22 00:00:00,29.5,25,36,0,,,9.2,,1012.2,
2025-03-23 00:00:00,29.2,25,35,0,,,9.5,,1011.8,
2025-03-24 00:00:00,28.5,24,35,0,,,10,,1010.1,
2025-03-25 00:00:00,27.9,26,32,0,,,13.5,,1008,
2025-03-26 00:00:00,27.9,24,32,0,,,12.9,,1006.6,
