id,turns,victory_status,winner,white_rating,black_rating,opening_name
TZJHLljE,13,outoftime,white,1500,1191,Slav Defense: Exchange Variation
l1NXvwaE,16,resign,black,1322,1261,Nimzowitsch Defense: Kennedy Variation
mIICvQHh,61,mate,white,1496,1500,King's Pawn Game: Leonardis Variation
kWKvrqYL,61,mate,white,1439,1454,Queen's Pawn Game: Zukertort Variation
9tXo1AUZ,95,mate,white,1523,1469,Philidor Defense
MsoDV9wj,5,draw,draw,1250,1002,Sicilian Defense: Mongoose Variation
qwU9rasv,33,resign,white,1520,1423,Blackmar-Diemer Gambit: Pietrowsky Defense
RVN0N3VK,9,resign,black,1413,2108,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation
dwF3DJHO,66,resign,black,1439,1392,Italian Game: Schilling-Kostic Gambit
afoMwnLg,119,mate,white,1381,1209,Scandinavian Defense: Mieses-Kotroc Variation
HgKLWPsz,39,mate,white,1381,1272,Van't Kruijs Opening
Vf5fKWzI,38,resign,black,1381,1867,French Defense: Advance Variation |  Paulsen Attack
HRti5mKv,60,resign,black,1381,1936,French Defense: Knight Variation
2fEjSei6,31,resign,black,1381,1607,French Defense #2
u7i6dOaJ,31,mate,white,1094,1141,Four Knights Game: Italian Variation
guanvMR5,43,resign,black,1141,1094,Italian Game: Two Knights Defense |  Knight Attack
PmpkWkmm,52,resign,black,1094,1141,Four Knights Game: Italian Variation
EwaK0IsE,66,mate,black,1141,1094,Four Knights Game: Italian Variation
yrSDozT3,101,resign,black,1094,1300,Philidor Defense #3
x31mXlvc,25,resign,white,1500,1094,Queen's Pawn Game
oQklnWWp,14,resign,black,1094,1676,Italian Game: Anti-Fried Liver Defense
QFCZwY1f,3,resign,white,1094,1068,Horwitz Defense
5cgBygpI,17,resign,white,1500,1094,Sicilian Defense: Bowdler Attack
UhXXBOMY,36,resign,white,1307,1106,English Opening: King's English Variation |  Reversed Closed Sicilian
mCij4hBq,13,resign,black,1113,1423,Sicilian Defense: Smith-Morra Gambit #2
ifUMWtVj,69,mate,white,1078,1219,Queen's Pawn Game: Chigorin Variation
Wf0zuLQQ,43,resign,white,1825,1079,Scotch Game: Haxo Gambit
srz9QfSN,54,mate,black,1328,1038,Queen's Pawn Game: Chigorin Variation
NS6ccssb,53,resign,black,1056,1156,Slav Defense
M3vpf2Ki,66,mate,black,1077,1148,Queen's Gambit Refused: Marshall Defense
fXhNOnOn,64,resign,black,1358,1036,Sicilian Defense: Smith-Morra Gambit #2
DiCTkvZH,64,mate,black,1200,1002,Sicilian Defense: Canal Attack |  Main Line
FSkgvV2E,54,resign,white,1203,1019,Sicilian Defense
F1mRjzPr,21,resign,black,1019,1500,Queen's Gambit Accepted: Central Variation |  Greco Variation
Lq24M4KQ,11,resign,white,1422,975,Sicilian Defense: Bowdler Attack
lHNM8cl5,19,resign,black,976,1832,Robatsch (Modern) Defense
GfeEgLV3,28,resign,white,1569,978,Blackmar-Diemer Gambit: Tartakower Variation
OR6aULrW,22,resign,black,978,1500,Indian Game
Yg006qwa,37,resign,white,1500,978,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line
G5S21pXK,34,resign,white,2449,978,English Opening: King's English Variation |  Reversed Sicilian
R9a2DLwe,32,draw,draw,1207,978,Sicilian Defense: Dragon Variation
r4LcBZA7,71,resign,black,1241,978,Sicilian Defense: Closed Variation
SDDXGw21,30,resign,white,1500,978,Sicilian Defense: Smith-Morra Gambit #2
oqoT4DLS,66,resign,white,2443,978,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line
eSociDPG,41,resign,white,1500,978,Sicilian Defense: Smith-Morra Gambit #2
mpzYDfIK,49,resign,white,1500,978,Sicilian Defense: Bowdler Attack
27zreJYy,3,resign,black,978,1500,Scandinavian Defense
IRYkgI8N,7,resign,white,1343,978,Sicilian Defense: Bowdler Attack
tLnhk43J,35,mate,white,2436,978,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line
iq3Kz06t,41,mate,white,2436,978,Scandinavian Defense: Mieses-Kotroc Variation
AAw1TiNN,5,resign,black,978,1500,French Defense: Normal Variation
n4vRYUCW,7,resign,white,1500,978,King's Pawn Game: Beyer Gambit
KYPdQv8e,53,mate,white,978,1500,Dutch Defense
